"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19"
"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"2",0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,1,0
"3",0,0,0,0,0,0,1,0,0,4,1,2,1,1,0,3,2,3,2,3
"4",0,0,0,0,1,0,0,3,0,0,0,4,0,1,1,2,2,0,5,7
"5",0,0,1,0,0,18,2,1,0,0,0,6,1,2,1,6,9,0,8,3
"6",0,0,0,0,3,8,113,0,2,0,3,4,0,1,4,6,11,1,13,8
"7",0,0,2,0,0,2,0,11,2,0,6,0,2,9,6,9,4,0,8,9
"8",0,0,2,0,1,2,0,6,11,0,3,4,0,5,6,10,12,5,40,41
"9",0,0,0,2,0,0,0,0,0,50,3,0,6,3,3,5,10,17,2,20
"10",0,0,0,0,1,4,0,2,1,2,55,4,3,13,9,70,15,0,10,9
"11",0,0,0,0,5,8,5,11,1,2,2,33,1,5,0,7,22,4,55,15
"12",0,4,0,0,1,4,0,7,3,17,27,1,323,29,12,41,89,34,26,52
"13",0,1,2,0,4,2,0,29,2,12,29,3,12,170,11,41,60,4,57,22
"14",0,0,0,0,13,2,0,13,9,3,86,8,5,13,469,15,42,4,38,67
"15",0,4,2,2,6,3,7,26,5,17,83,15,21,39,14,301,124,16,69,87
"16",1,18,9,13,17,63,14,51,17,107,98,100,63,122,93,213,1059,94,347,226
"17",4,1,1,7,3,4,12,13,7,47,9,11,30,16,9,32,54,2480,47,367
"18",1,3,14,3,68,77,62,108,50,44,97,217,11,232,107,175,652,55,1941,323
"19",1,6,16,11,60,37,13,133,180,73,115,131,67,166,186,292,339,528,492,2421
